ledger_id,lane,module,granularity,unit_id,candidate_id,range_id,function_index,entry_address,parent_start,parent_end,size,source_kind,source_shape,promotion_key,proof_stage,proof_status,input_matching_claim,import_status,import_source_path,import_header_path,source_path,header_path,compiler_pipeline,compiler_variant,object_path,compiled_section_path,original_path,container_output,compiled_sha1,original_sha1,object_match,relocation_pass,splice_pass,container_pass,matching_claim,reference_source_path,reference_source_line,reference_source_end_line
ECPR00082,auto_leaf_pattern_recovery,m580Dll.rel,function,AUTOLP00107,ALP_blr_noop_m580dll_rel_531_8000ca7c,,531,0x8000CA7C,,,4,noop_leaf,noop_leaf,function:m580dll.rel:rel:531:0x8000ca7c,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_noop_leaf,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_blr_noop_m580dll_rel_531_8000ca7c.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_blr_noop_m580dll_rel_531_8000ca7c.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m580dll_rel/ALP_blr_noop_m580dll_rel_531_8000ca7c.bin,abd524a9450f61362265366f96cd43b64a9ffb3d,abd524a9450f61362265366f96cd43b64a9ffb3d,yes,yes,yes,yes,byte_identical_c,,,
ECPR00083,auto_leaf_pattern_recovery,m580Dll.rel,function,AUTOLP00108,ALP_blr_noop_m580dll_rel_608_8000efbc,,608,0x8000EFBC,,,4,noop_leaf,noop_leaf,function:m580dll.rel:rel:608:0x8000efbc,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_noop_leaf,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_blr_noop_m580dll_rel_608_8000efbc.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_blr_noop_m580dll_rel_608_8000efbc.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m580dll_rel/ALP_blr_noop_m580dll_rel_608_8000efbc.bin,abd524a9450f61362265366f96cd43b64a9ffb3d,abd524a9450f61362265366f96cd43b64a9ffb3d,yes,yes,yes,yes,byte_identical_c,,,
ECPR00084,auto_leaf_pattern_recovery,m601Dll.rel,function,AUTOLP00109,ALP_blr_noop_m601dll_rel_109_800056f4,,109,0x800056F4,,,4,noop_leaf,noop_leaf,function:m601dll.rel:rel:109:0x800056f4,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_noop_leaf,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_blr_noop_m601dll_rel_109_800056f4.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_blr_noop_m601dll_rel_109_800056f4.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m601dll_rel/ALP_blr_noop_m601dll_rel_109_800056f4.bin,abd524a9450f61362265366f96cd43b64a9ffb3d,abd524a9450f61362265366f96cd43b64a9ffb3d,yes,yes,yes,yes,byte_identical_c,,,
ECPR00085,auto_leaf_pattern_recovery,m601Dll.rel,function,AUTOLP00110,ALP_blr_noop_m601dll_rel_110_800056f8,,110,0x800056F8,,,4,noop_leaf,noop_leaf,function:m601dll.rel:rel:110:0x800056f8,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_noop_leaf,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_blr_noop_m601dll_rel_110_800056f8.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_blr_noop_m601dll_rel_110_800056f8.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m601dll_rel/ALP_blr_noop_m601dll_rel_110_800056f8.bin,abd524a9450f61362265366f96cd43b64a9ffb3d,abd524a9450f61362265366f96cd43b64a9ffb3d,yes,yes,yes,yes,byte_identical_c,,,
ECPR00086,auto_leaf_pattern_recovery,m601Dll.rel,function,AUTOLP00111,ALP_blr_noop_m601dll_rel_111_800056fc,,111,0x800056FC,,,4,noop_leaf,noop_leaf,function:m601dll.rel:rel:111:0x800056fc,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_noop_leaf,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_blr_noop_m601dll_rel_111_800056fc.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_blr_noop_m601dll_rel_111_800056fc.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m601dll_rel/ALP_blr_noop_m601dll_rel_111_800056fc.bin,abd524a9450f61362265366f96cd43b64a9ffb3d,abd524a9450f61362265366f96cd43b64a9ffb3d,yes,yes,yes,yes,byte_identical_c,,,
ECPR00087,auto_leaf_pattern_recovery,m601Dll.rel,function,AUTOLP00112,ALP_blr_noop_m601dll_rel_112_80005700,,112,0x80005700,,,4,noop_leaf,noop_leaf,function:m601dll.rel:rel:112:0x80005700,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_noop_leaf,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_blr_noop_m601dll_rel_112_80005700.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_blr_noop_m601dll_rel_112_80005700.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m601dll_rel/ALP_blr_noop_m601dll_rel_112_80005700.bin,abd524a9450f61362265366f96cd43b64a9ffb3d,abd524a9450f61362265366f96cd43b64a9ffb3d,yes,yes,yes,yes,byte_identical_c,,,
ECPR00088,auto_leaf_pattern_recovery,m601Dll.rel,function,AUTOLP00113,ALP_blr_noop_m601dll_rel_113_80005704,,113,0x80005704,,,4,noop_leaf,noop_leaf,function:m601dll.rel:rel:113:0x80005704,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_noop_leaf,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_blr_noop_m601dll_rel_113_80005704.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_blr_noop_m601dll_rel_113_80005704.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m601dll_rel/ALP_blr_noop_m601dll_rel_113_80005704.bin,abd524a9450f61362265366f96cd43b64a9ffb3d,abd524a9450f61362265366f96cd43b64a9ffb3d,yes,yes,yes,yes,byte_identical_c,,,
ECPR00089,auto_leaf_pattern_recovery,m601Dll.rel,function,AUTOLP00114,ALP_blr_noop_m601dll_rel_114_80005708,,114,0x80005708,,,4,noop_leaf,noop_leaf,function:m601dll.rel:rel:114:0x80005708,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_noop_leaf,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_blr_noop_m601dll_rel_114_80005708.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_blr_noop_m601dll_rel_114_80005708.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m601dll_rel/ALP_blr_noop_m601dll_rel_114_80005708.bin,abd524a9450f61362265366f96cd43b64a9ffb3d,abd524a9450f61362265366f96cd43b64a9ffb3d,yes,yes,yes,yes,byte_identical_c,,,
ECPR00090,auto_leaf_pattern_recovery,m602Dll.rel,function,AUTOLP00115,ALP_blr_noop_m602dll_rel_253_80004db4,,253,0x80004DB4,,,4,noop_leaf,noop_leaf,function:m602dll.rel:rel:253:0x80004db4,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_noop_leaf,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_blr_noop_m602dll_rel_253_80004db4.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_blr_noop_m602dll_rel_253_80004db4.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m602dll_rel/ALP_blr_noop_m602dll_rel_253_80004db4.bin,abd524a9450f61362265366f96cd43b64a9ffb3d,abd524a9450f61362265366f96cd43b64a9ffb3d,yes,yes,yes,yes,byte_identical_c,,,
ECPR00091,auto_leaf_pattern_recovery,m603DLL.rel,function,AUTOLP00116,ALP_blr_noop_m603dll_rel_25_80000adc,,25,0x80000ADC,,,4,noop_leaf,noop_leaf,function:m603dll.rel:rel:25:0x80000adc,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_noop_leaf,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_blr_noop_m603dll_rel_25_80000adc.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_blr_noop_m603dll_rel_25_80000adc.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m603dll_rel/ALP_blr_noop_m603dll_rel_25_80000adc.bin,abd524a9450f61362265366f96cd43b64a9ffb3d,abd524a9450f61362265366f96cd43b64a9ffb3d,yes,yes,yes,yes,byte_identical_c,,,
